trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,0,39022.52,-1.0893798,25781.666015625,17113.576171875,-0.45272520184516907,1.379291296005249,28469.208984375,36142.6796875,2.27874755859375,2.1849300861358643,1,-1,11,13,0.0,0.0,-347.8892822265625,-1007.9049072265625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,44.13760060016669,42.84998467445577,0.09381747245788574,2.952480903242005
True,False,2,0,49008.418,-2.1787794,29257.076171875,24934.916015625,1.2211041450500488,0.09565035253763199,53918.36328125,25049.291015625,0.6772489547729492,1.1077872514724731,1,-1,11,13,0.0,0.0,-18.040542602539062,-294.0756530761719,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,34.04331524602458,52.949233272106554,0.4305382966995239,3.0538599143484557
True,False,2,0,47663.12,-3.0699832,36815.74609375,26251.193359375,-1.1866419315338135,-0.3641781508922577,65924.2265625,28011.509765625,-0.7327659130096436,-1.2075897455215454,1,-1,11,13,0.0,0.0,-766.8873291015625,-239.4071044921875,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,30.08791309335051,61.348242426070044,0.47482383251190186,2.1403173340748296
True,False,2,0,32825.668,3.0751376,29478.07421875,16341.107421875,-0.8788861036300659,0.46085086464881897,41615.09375,18107.63671875,-0.44845637679100037,0.26630476117134094,1,-1,11,13,0.0,0.0,-552.6826782226562,-507.70611572265625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,35.18120587578578,43.169467703255414,0.7147611379623413,3.0103150642650203
True,False,2,1,82885.64,0.6987165,46154.91015625,32565.671875,-0.8576139211654663,-1.8222206830978394,64194.59765625,103351.21875,-1.4086942672729492,-1.7905471324920654,1,-1,11,13,0.0,0.0,-274.3730163574219,-276.1322326660156,1,1,35966.09765625,-0.4810244143009186,-2.3816075325012207,40662.578125,-0.9228280782699585,Higgs,41.55632359203288,77.33314787674331,0.3818528652191162,2.2649842718557096
True,False,2,0,49157.336,-0.82122064,42516.46875,18097.87109375,-0.5367873311042786,-0.3485453128814697,48790.33203125,19208.634765625,2.3250069618225098,-2.165599822998047,1,-1,11,13,0.0,0.0,-129.7152099609375,-461.58319091796875,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,43.64372123371678,42.38714632552344,1.7925785223590296,2.707356449765305
True,False,2,0,72448.695,-3.0592346,45826.04296875,15006.072265625,0.4550313651561737,1.1256065368652344,50652.69140625,25559.62109375,-1.027608036994934,0.351563960313797,1,-1,11,13,0.0,0.0,-656.466064453125,-1436.037109375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,37.87330111430398,50.864001577003926,1.379171997308731,2.32545990424577
True,False,2,0,52067.504,-1.5250071,36751.7265625,18356.505859375,-1.767848253250122,-1.581180453300476,110786.875,46501.02734375,1.9596264362335205,0.8207299709320068,-1,1,11,13,0.0,0.0,-294.64398193359375,-201.50888061523438,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,28.426106546666084,47.45997886299662,1.1388964653015137,3.1257153688353236
True,False,2,0,54452.78,2.4110522,47246.5390625,15433.9296875,-1.0575978755950928,-0.49832555651664734,76226.03125,17390.578125,-0.730070948600769,-1.6255300045013428,-1,1,11,13,0.0,0.0,-479.21881103515625,-78.20892333984375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,27.94201444656103,58.15647467848411,0.8954590559005737,2.9334186837326524
True,True,2,1,69514.83,-2.8188941,46806.46875,45229.16015625,-0.6918954849243164,-0.2468569278717041,58464.28515625,46614.26953125,0.9629176259040833,0.45449894666671753,-1,1,13,11,0.0,0.0,-1034.4990234375,-346.1559143066406,1,1,30197.03515625,-1.1578636169433594,-2.357515335083008,53131.20703125,-0.9335284233093262,Higgs,31.012925243487803,89.0787109359207,0.5084186792373657,2.7511299207339297
True,False,2,0,68011.51,-1.4401501,36904.03515625,31818.94140625,-1.3421064615249634,-0.8890747427940369,75439.140625,45245.15625,1.1774711608886719,1.9894462823867798,-1,1,13,11,0.0,0.0,-586.70361328125,-895.1175537109375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,31.268580164052246,63.16861108619896,0.8119751214981079,2.9918118148985258
True,True,2,0,42611.914,-1.4889226,26617.53515625,25378.349609375,0.793624997138977,0.9418237805366516,35449.24609375,37491.2109375,2.250500440597534,0.841349184513092,1,-1,11,13,0.0,0.0,-523.2448120117188,-409.8231201171875,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,33.88872796536092,39.62309236022834,1.4091512560844421,3.055105506119687
True,True,2,0,60322.098,2.4210322,33829.20703125,26686.712890625,-1.763948678970337,-2.0624191761016846,101602.7109375,106641.703125,0.00510593643411994,1.0438435077667236,1,-1,13,11,0.0,0.0,-682.3612670898438,-204.25167846679688,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,31.154737774465747,52.65531743963436,1.0387375713326037,1.9639340225843398
True,False,2,1,46360.5,0.0031106807,37878.19140625,22215.658203125,0.10761187970638275,-0.4283018708229065,38097.72265625,24284.876953125,2.203312873840332,2.8050992488861084,-1,1,11,13,0.0,0.0,-692.8967895507812,-197.07476806640625,1,1,32000.72265625,2.1275360584259033,-1.639773964881897,136327.59375,-0.5561721920967102,Higgs,23.306106368388058,57.5813744737267,0.6017863750457764,2.4203921900706096
